sparsity_dict: {'0': 0.47500000000000003, '1': 0.525, '2': 0.47500000000000003, '3': 0.45, '4': 0.55, '5': 0.45, '6': 0.55, '7': 0.55}, total_sparsity:0.503125, loss: 11.364428520202637
sparsity_dict: {'0': 0.5, '1': 0.47500000000000003, '2': 0.45, '3': 0.55, '4': 0.45, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.490625, loss: 10.970125198364258
sparsity_dict: {'0': 0.5, '1': 0.45, '2': 0.45, '3': 0.55, '4': 0.45, '5': 0.525, '6': 0.55, '7': 0.45}, total_sparsity:0.490625, loss: 10.923304557800293
sparsity_dict: {'0': 0.5, '1': 0.47500000000000003, '2': 0.47500000000000003, '3': 0.55, '4': 0.45, '5': 0.525, '6': 0.55, '7': 0.45}, total_sparsity:0.49687500000000007, loss: 11.045157432556152
sparsity_dict: {'0': 0.525, '1': 0.45, '2': 0.5, '3': 0.55, '4': 0.45, '5': 0.525, '6': 0.55, '7': 0.45}, total_sparsity:0.5, loss: 11.087522506713867
sparsity_dict: {'0': 0.5, '1': 0.47500000000000003, '2': 0.5, '3': 0.45, '4': 0.45, '5': 0.55, '6': 0.55, '7': 0.45}, total_sparsity:0.490625, loss: 10.983202934265137
sparsity_dict: {'0': 0.45, '1': 0.55, '2': 0.45, '3': 0.55, '4': 0.45, '5': 0.525, '6': 0.55, '7': 0.47500000000000003}, total_sparsity:0.5, loss: 11.27466869354248
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.5, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.5, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.927570343017578
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.525, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.55, '7': 0.45}, total_sparsity:0.49687500000000007, loss: 10.991143226623535
sparsity_dict: {'0': 0.47500000000000003, '1': 0.47500000000000003, '2': 0.47500000000000003, '3': 0.525, '4': 0.45, '5': 0.5, '6': 0.525, '7': 0.55}, total_sparsity:0.496875, loss: 11.142443656921387
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.45, '5': 0.525, '6': 0.55, '7': 0.47500000000000003}, total_sparsity:0.49375, loss: 10.950859069824219
sparsity_dict: {'0': 0.45, '1': 0.45, '2': 0.5, '3': 0.525, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.5}, total_sparsity:0.49062500000000003, loss: 10.920957565307617
sparsity_dict: {'0': 0.45, '1': 0.47500000000000003, '2': 0.525, '3': 0.525, '4': 0.47500000000000003, '5': 0.525, '6': 0.5, '7': 0.5}, total_sparsity:0.496875, loss: 11.050983428955078
sparsity_dict: {'0': 0.45, '1': 0.45, '2': 0.5, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.5}, total_sparsity:0.49375, loss: 10.960917472839355
sparsity_dict: {'0': 0.45, '1': 0.45, '2': 0.5, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.910297393798828
sparsity_dict: {'0': 0.45, '1': 0.45, '2': 0.5, '3': 0.525, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.525}, total_sparsity:0.49375, loss: 11.006610870361328
sparsity_dict: {'0': 0.45, '1': 0.525, '2': 0.5, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.5}, total_sparsity:0.503125, loss: 11.218435287475586
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.5, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49375, loss: 10.960488319396973
sparsity_dict: {'0': 0.45, '1': 0.45, '2': 0.525, '3': 0.525, '4': 0.5, '5': 0.525, '6': 0.5, '7': 0.525}, total_sparsity:0.5, loss: 11.105293273925781
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.5, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.496875, loss: 11.071507453918457
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.47500000000000003, '2': 0.55, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.503125, loss: 11.151806831359863
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.5, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49375, loss: 10.960488319396973
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.5}, total_sparsity:0.49375, loss: 10.963700294494629
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.45, '1': 0.5, '2': 0.47500000000000003, '3': 0.55, '4': 0.55, '5': 0.47500000000000003, '6': 0.5, '7': 0.47500000000000003}, total_sparsity:0.496875, loss: 11.114839553833008
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.5, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49375, loss: 10.960488319396973
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.5, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49375, loss: 10.960488319396973
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.55, '1': 0.47500000000000003, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.503125, loss: 11.288330078125
sparsity_dict: {'0': 0.47500000000000003, '1': 0.525, '2': 0.525, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.5}, total_sparsity:0.509375, loss: 11.337824821472168
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.5, '1': 0.45, '2': 0.5, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.496875, loss: 11.02188491821289
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.55, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.503125, loss: 11.349568367004395
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.5, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49375, loss: 10.960488319396973
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.45, '1': 0.45, '2': 0.5, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.55}, total_sparsity:0.5, loss: 11.15594482421875
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
